carpeta,archivo,frame,Codo,Hombro,Incl. Raqueta,Raqueta-Hombro,Muñeca-Cabeza
Punto_1-3,frame0angulos.json,frame0,144.6052,174.3595,169.9507,151.0817,142.1555
Punto_1-3,frame1angulos.json,frame1,173.8114,157.8337,170.9335,167.8114,163.5892
Punto_1-3,frame2angulos.json,frame2,151.0788,178.1035,152.9917,139.282,151.8387
Punto_1-5,frame0angulos.json,frame0,165.9473,128.2015,175.5496,176.1896,145.6099
Punto_1-5,frame2angulos.json,frame2,159.4891,143.1301,162.1789,173.2866,145.4016
Punto_1-6,frame8angulos.json,frame8,99.1046,166.6948,171.8315,122.4933,104.4086
Punto_1-6,frame9angulos.json,frame9,110.1707,155.1707,147.5288,111.7527,124.484
Punto_10-4,frame0angulos.json,frame0,126.8699,148.3245,168.6901,164.7449,110.2249
Punto_10-4,frame1angulos.json,frame1,127.1998,158.2995,170.4069,146.2435,115.4193
Punto_10-4,frame2angulos.json,frame2,131.6335,147.8937,168.8962,147.0948,114.0537
Punto_10-4,frame3angulos.json,frame3,135.0,140.1944,180.0,158.1986,112.3801
Punto_10-4,frame4angulos.json,frame4,143.1301,131.6335,180.0,162.4744,116.5651
Punto_10-4,frame5angulos.json,frame5,93.3665,172.2348,169.6952,151.3139,89.2152
Punto_10-4,frame6angulos.json,frame6,167.3213,150.9896,175.5546,168.0092,154.221
Punto_10-4,frame7angulos.json,frame7,149.6986,166.5089,176.2483,165.0079,144.6535
Punto_10-4,frame8angulos.json,frame8,165.839,156.3979,164.5338,156.7942,153.9909
Punto_10-4,frame10angulos.json,frame10,152.4699,178.8218,176.9458,160.3164,151.9183
Punto_10-4,frame11angulos.json,frame11,149.9403,167.5492,176.8202,158.692,144.7276
Punto_10-4,frame12angulos.json,frame12,170.3766,155.0809,162.564,156.8014,157.9699
Punto_10-4,frame13angulos.json,frame13,157.8074,167.2158,171.5014,156.5447,151.3139
